"Hours","whyplay","Gender","Age","Work","Degree","GAD_T","SWL_T","SPIN_T","Anxiety_Type"
5,154,2,35,1,5,2,26,31,"SAD"
14,206,2,18,3,3,14,7,17,"GAD"
35,206,2,18,3,2,3,22,32,"SAD"
4,206,2,19,3,2,0,33,33,"SAD"
25,154,2,20,2,2,5,16,46,"SAD"
12,206,2,20,3,3,3,21,24,"SAD"
25,349,2,20,2,2,9,17,5,"No_Anxiety"
15,206,2,18,2,2,8,9,14,"No_Anxiety"
8,154,2,20,2,2,2,22,11,"No_Anxiety"
20,154,2,18,2,2,1,25,7,"No_Anxiety"
25,154,1,28,1,5,7,15,12,"No_Anxiety"
5,154,2,20,2,2,0,29,4,"No_Anxiety"
30,154,2,20,1,2,2,19,11,"No_Anxiety"
9,154,2,18,3,3,2,30,6,"No_Anxiety"
15,154,2,29,1,5,2,17,1,"No_Anxiety"
20,154,2,28,1,1,3,30,3,"No_Anxiety"
15,206,2,18,3,3,8,14,27,"SAD"
20,154,2,27,1,4,1,31,8,"No_Anxiety"
30,154,2,18,2,2,5,14,25,"SAD"
20,206,2,19,2,2,6,25,25,"SAD"
30,154,2,20,2,2,4,20,24,"SAD"
15,154,2,18,1,2,10,14,21,"Mixed_Anxiety"
50,349,2,21,2,2,21,5,66,"Mixed_Anxiety"
50,206,2,19,2,2,7,17,31,"SAD"
20,206,2,18,3,3,4,29,6,"No_Anxiety"
14,154,2,20,4,2,0,17,4,"No_Anxiety"
12,349,2,18,2,2,3,26,25,"SAD"
15,349,2,24,3,2,4,21,33,"SAD"
25,154,2,25,4,2,10,7,36,"Mixed_Anxiety"
22,206,2,21,4,2,1,11,25,"SAD"
55,154,2,18,2,2,0,34,14,"No_Anxiety"
30,154,2,21,2,2,7,32,28,"SAD"
8,154,2,30,1,1,6,18,1,"No_Anxiety"
14,154,2,23,2,1,2,29,5,"No_Anxiety"
15,206,2,22,4,5,3,20,0,"No_Anxiety"
25,206,2,20,1,2,9,13,33,"SAD"
10,154,2,25,1,5,1,31,4,"No_Anxiety"
9,154,2,22,2,5,0,33,3,"No_Anxiety"
20,206,2,18,3,2,6,34,17,"No_Anxiety"
30,349,2,24,1,5,4,11,14,"No_Anxiety"
10,154,2,18,2,3,19,27,39,"Mixed_Anxiety"
7,154,2,20,4,2,1,16,30,"SAD"
20,32,2,18,3,3,5,17,17,"No_Anxiety"
15,154,2,19,2,2,11,24,37,"Mixed_Anxiety"
20,154,2,20,2,2,6,23,15,"No_Anxiety"
24,206,2,26,1,5,1,16,3,"No_Anxiety"
56,206,2,28,4,5,11,26,16,"GAD"
20,154,2,18,2,5,5,16,38,"SAD"
8,154,2,18,3,3,6,33,29,"SAD"
25,349,2,27,1,2,11,13,3,"GAD"
20,206,2,22,1,5,2,21,17,"No_Anxiety"
10,349,2,18,2,2,5,16,39,"SAD"
28,154,2,18,3,2,13,13,54,"Mixed_Anxiety"
15,23,2,21,2,2,2,25,8,"No_Anxiety"
25,206,2,23,1,5,4,9,23,"SAD"
20,206,2,20,2,2,2,29,16,"No_Anxiety"
30,206,2,29,2,1,2,22,7,"No_Anxiety"
48,349,2,18,1,2,4,15,27,"SAD"
13,154,2,18,3,3,2,21,6,"No_Anxiety"
35,220,2,18,3,2,5,24,29,"SAD"
5,154,2,23,2,5,4,12,17,"No_Anxiety"
4,349,2,22,2,2,8,15,17,"No_Anxiety"
10,154,2,19,4,2,2,18,13,"No_Anxiety"
25,154,2,19,2,2,2,24,23,"SAD"
50,206,2,18,3,3,1,23,19,"SAD"
7,154,2,20,4,3,15,10,46,"Mixed_Anxiety"
23,206,2,20,2,5,1,20,8,"No_Anxiety"
10,206,2,19,2,2,16,12,38,"Mixed_Anxiety"
40,206,2,18,2,2,4,16,45,"SAD"
18,154,2,27,2,2,2,17,17,"No_Anxiety"
14,154,1,23,2,2,1,27,24,"SAD"
15,206,2,24,4,5,3,27,26,"SAD"
25,154,2,28,1,5,10,15,19,"Mixed_Anxiety"
20,154,2,18,3,2,0,29,13,"No_Anxiety"
6,154,2,18,2,5,5,16,22,"SAD"
20,309,2,22,2,5,2,24,16,"No_Anxiety"
15,154,2,19,2,2,4,26,14,"No_Anxiety"
8,154,1,18,2,2,5,26,17,"No_Anxiety"
14,206,2,21,2,2,2,28,6,"No_Anxiety"
20,187,2,19,3,2,14,13,15,"GAD"
25,206,2,18,3,2,2,24,11,"No_Anxiety"
20,206,2,18,3,3,3,28,9,"No_Anxiety"
8,206,2,20,1,2,8,17,23,"SAD"
20,154,2,24,1,5,16,29,38,"Mixed_Anxiety"
34,154,2,19,2,2,3,23,23,"SAD"
14,154,2,18,2,2,0,30,10,"No_Anxiety"
40,349,2,21,4,2,9,13,27,"SAD"
20,206,2,22,2,2,3,32,8,"No_Anxiety"
12,309,2,25,2,2,4,25,17,"No_Anxiety"
28,154,2,21,4,2,18,12,43,"Mixed_Anxiety"
20,206,2,25,1,5,4,25,17,"No_Anxiety"
15,154,2,26,1,5,0,20,13,"No_Anxiety"
20,206,2,18,3,2,8,10,30,"SAD"
15,206,2,18,3,3,9,15,22,"SAD"
14,206,2,19,2,2,8,16,43,"SAD"
35,206,2,20,4,2,3,16,17,"No_Anxiety"
50,349,2,19,2,2,18,6,37,"Mixed_Anxiety"
20,154,2,21,2,5,8,17,25,"SAD"
10,206,2,22,4,5,10,13,37,"Mixed_Anxiety"
35,154,2,20,2,2,0,26,12,"No_Anxiety"
25,206,2,20,1,2,12,15,25,"Mixed_Anxiety"
18,154,2,18,3,3,2,30,9,"No_Anxiety"
30,154,1,23,4,5,17,9,58,"Mixed_Anxiety"
20,154,2,25,1,2,2,5,36,"SAD"
15,206,2,18,3,2,10,16,25,"Mixed_Anxiety"
12,349,2,22,2,5,2,12,21,"SAD"
20,206,2,19,2,2,1,25,4,"No_Anxiety"
60,206,2,21,2,3,14,35,26,"Mixed_Anxiety"
25,206,2,18,3,3,5,21,12,"No_Anxiety"
25,349,2,29,1,1,2,31,9,"No_Anxiety"
10,154,2,18,3,3,8,20,27,"SAD"
20,154,2,20,2,3,9,7,22,"SAD"
3,206,2,18,2,2,6,16,25,"SAD"
9,31,2,22,2,5,7,14,25,"SAD"
30,206,2,18,2,2,7,14,24,"SAD"
14,206,2,19,2,2,12,17,37,"Mixed_Anxiety"
20,349,2,20,2,2,11,10,52,"Mixed_Anxiety"
20,206,2,21,2,5,6,16,33,"SAD"
8,154,2,23,4,5,3,19,7,"No_Anxiety"
25,309,2,24,4,5,14,9,26,"Mixed_Anxiety"
10,154,2,19,2,2,0,16,11,"No_Anxiety"
5,309,1,19,2,2,6,16,27,"SAD"
70,349,2,18,3,2,8,12,41,"SAD"
35,349,2,22,2,2,18,11,26,"Mixed_Anxiety"
30,349,2,18,2,2,7,22,31,"SAD"
5,349,2,20,2,5,3,12,7,"No_Anxiety"
10,206,2,18,2,2,5,15,50,"SAD"
18,154,2,20,2,2,16,18,38,"Mixed_Anxiety"
14,154,2,20,2,2,5,12,46,"SAD"
10,309,2,27,1,2,13,14,7,"GAD"
15,154,2,18,3,2,2,28,11,"No_Anxiety"
20,154,2,25,2,5,2,18,10,"No_Anxiety"
8,154,2,27,1,1,0,31,31,"SAD"
20,206,2,18,3,2,1,25,1,"No_Anxiety"
10,206,2,18,2,2,0,29,24,"SAD"
15,309,1,23,2,2,3,18,18,"No_Anxiety"
2,154,2,37,1,5,5,24,6,"No_Anxiety"
22,154,2,23,2,2,7,13,24,"SAD"
20,20,2,19,2,2,3,30,10,"No_Anxiety"
8,154,2,22,2,5,4,21,19,"SAD"
14,154,2,23,2,2,7,29,29,"SAD"
25,206,2,19,2,2,2,19,12,"No_Anxiety"
35,349,2,18,3,2,3,24,24,"SAD"
15,154,2,25,2,4,6,31,32,"SAD"
20,206,2,21,1,2,2,21,13,"No_Anxiety"
20,206,2,19,2,2,10,7,24,"Mixed_Anxiety"
10,309,2,21,2,2,21,7,35,"Mixed_Anxiety"
16,349,2,22,1,2,3,10,44,"SAD"
30,206,2,23,4,2,2,18,32,"SAD"
10,206,1,25,4,2,3,9,27,"SAD"
20,309,2,24,1,5,3,17,38,"SAD"
60,154,1,22,4,2,12,18,39,"Mixed_Anxiety"
10,206,2,23,2,2,2,27,10,"No_Anxiety"
14,349,2,18,1,2,2,26,7,"No_Anxiety"
10,206,2,20,1,2,4,17,9,"No_Anxiety"
21,206,2,18,3,2,6,23,19,"SAD"
18,140,2,20,2,3,10,17,14,"GAD"
25,154,2,21,2,2,2,14,11,"No_Anxiety"
2,154,2,19,2,2,13,14,26,"Mixed_Anxiety"
20,81,2,19,2,2,0,33,4,"No_Anxiety"
40,349,2,21,4,2,0,25,3,"No_Anxiety"
14,154,2,20,2,2,3,30,11,"No_Anxiety"
14,154,2,26,2,5,14,13,17,"GAD"
20,206,2,20,2,2,3,21,36,"SAD"
20,206,2,19,3,2,4,16,31,"SAD"
35,349,2,20,2,2,1,17,26,"SAD"
10,154,2,22,2,5,2,28,6,"No_Anxiety"
4,154,2,24,2,2,12,21,15,"GAD"
50,349,2,18,2,2,14,17,31,"Mixed_Anxiety"
13,154,2,19,2,2,5,25,12,"No_Anxiety"
15,154,2,25,1,5,4,19,7,"No_Anxiety"
26,154,2,18,3,3,2,17,13,"No_Anxiety"
20,206,2,18,2,2,10,25,10,"GAD"
8,154,2,23,2,5,0,21,4,"No_Anxiety"
16,206,2,19,3,2,3,24,15,"No_Anxiety"
20,349,2,23,1,2,8,16,22,"SAD"
35,154,2,18,3,2,0,28,4,"No_Anxiety"
45,154,2,20,2,2,3,21,22,"SAD"
20,154,2,18,3,3,5,30,25,"SAD"
10,154,2,18,3,2,6,22,18,"No_Anxiety"
35,206,2,22,2,1,11,13,26,"Mixed_Anxiety"
6,238,2,18,3,2,2,23,17,"No_Anxiety"
40,154,2,23,1,5,0,17,17,"No_Anxiety"
6,206,2,31,1,5,7,25,6,"No_Anxiety"
10,349,2,19,2,2,5,16,47,"SAD"
30,154,2,23,2,5,3,21,38,"SAD"
25,154,2,23,1,2,2,19,16,"No_Anxiety"
45,170,2,19,4,2,5,17,17,"No_Anxiety"
15,349,2,21,2,2,13,7,51,"Mixed_Anxiety"
30,154,2,19,2,2,1,15,17,"No_Anxiety"
35,309,2,21,4,5,7,16,10,"No_Anxiety"
20,206,2,18,3,3,6,31,13,"No_Anxiety"
20,206,2,21,2,2,0,22,14,"No_Anxiety"
20,206,2,25,2,5,5,24,0,"No_Anxiety"
8,154,2,19,1,2,1,27,4,"No_Anxiety"
40,206,2,21,2,2,3,16,12,"No_Anxiety"
16,349,2,19,2,2,4,26,24,"SAD"
22,206,2,18,2,2,1,32,11,"No_Anxiety"
30,206,2,18,2,2,0,26,8,"No_Anxiety"
20,154,2,25,2,2,11,11,35,"Mixed_Anxiety"
20,206,2,21,2,2,0,5,15,"No_Anxiety"
14,154,2,18,3,2,1,28,20,"SAD"
35,180,2,26,2,2,3,14,17,"No_Anxiety"
50,154,2,19,4,2,1,28,41,"SAD"
21,206,2,19,2,2,12,9,24,"Mixed_Anxiety"
10,206,2,40,1,2,19,9,18,"GAD"
20,206,2,23,4,5,1,22,3,"No_Anxiety"
20,206,2,26,1,5,4,26,19,"SAD"
30,206,2,26,1,2,1,28,11,"No_Anxiety"
30,154,2,20,4,2,2,26,17,"No_Anxiety"
10,154,2,18,2,2,3,17,17,"No_Anxiety"
45,154,2,23,2,5,13,17,54,"Mixed_Anxiety"
20,154,2,23,2,2,2,12,11,"No_Anxiety"
14,154,2,18,3,3,0,24,0,"No_Anxiety"
20,206,2,19,2,2,9,21,46,"SAD"
39,206,2,23,3,2,0,10,17,"No_Anxiety"
28,154,2,30,1,2,2,22,8,"No_Anxiety"
25,154,2,22,2,2,2,15,5,"No_Anxiety"
10,206,2,27,4,5,5,14,0,"No_Anxiety"
50,206,2,20,4,2,1,32,9,"No_Anxiety"
50,206,2,19,3,2,5,15,8,"No_Anxiety"
5,154,1,20,2,2,2,11,24,"SAD"
20,154,2,19,2,2,3,32,23,"SAD"
25,206,2,19,2,2,9,28,16,"No_Anxiety"
3,206,2,23,2,2,1,27,4,"No_Anxiety"
40,349,2,18,3,3,10,9,37,"Mixed_Anxiety"
30,206,1,18,2,2,15,15,48,"Mixed_Anxiety"
30,154,2,19,2,5,3,20,13,"No_Anxiety"
16,206,2,20,2,2,5,26,34,"SAD"
25,154,2,19,2,2,0,20,13,"No_Anxiety"
80,349,2,21,1,2,21,5,34,"Mixed_Anxiety"
15,206,2,22,2,5,0,31,9,"No_Anxiety"
25,206,2,22,2,2,1,24,16,"No_Anxiety"
7,206,2,18,3,2,2,31,4,"No_Anxiety"
20,154,2,21,1,2,10,11,55,"Mixed_Anxiety"
30,349,2,35,1,5,15,13,4,"GAD"
22,206,2,18,3,2,21,9,54,"Mixed_Anxiety"
30,206,2,24,1,5,4,10,9,"No_Anxiety"
25,206,2,18,3,3,3,21,23,"SAD"
30,309,2,29,1,5,4,30,13,"No_Anxiety"
35,206,2,21,4,2,17,12,17,"GAD"
21,154,2,21,2,2,9,27,37,"SAD"
24,349,2,19,3,2,3,29,2,"No_Anxiety"
15,154,1,21,2,2,0,30,14,"No_Anxiety"
14,206,2,30,1,1,4,15,7,"No_Anxiety"
18,154,2,21,2,2,5,28,12,"No_Anxiety"
6,349,2,21,2,2,8,16,7,"No_Anxiety"
50,349,2,18,3,3,5,30,23,"SAD"
20,154,2,19,2,2,2,22,3,"No_Anxiety"
25,309,2,20,2,2,4,16,14,"No_Anxiety"
20,206,2,19,2,2,1,16,24,"SAD"
30,154,2,24,2,2,4,14,5,"No_Anxiety"
21,154,2,20,4,3,13,10,44,"Mixed_Anxiety"
35,154,2,19,2,2,1,13,14,"No_Anxiety"
20,154,2,25,1,2,0,20,8,"No_Anxiety"
12,349,2,18,2,2,4,12,26,"SAD"
30,349,2,20,2,2,9,11,18,"No_Anxiety"
7,349,2,18,3,2,2,21,10,"No_Anxiety"
6,206,2,19,3,2,5,28,19,"SAD"
10,349,2,18,3,2,5,19,16,"No_Anxiety"
21,206,2,18,2,2,3,24,5,"No_Anxiety"
28,206,1,21,2,2,8,8,27,"SAD"
15,154,2,21,4,5,7,8,22,"SAD"
28,309,2,19,2,2,4,18,18,"No_Anxiety"
18,154,2,20,2,2,9,32,12,"No_Anxiety"
26,349,2,18,2,2,2,26,17,"No_Anxiety"
10,154,2,27,2,5,8,28,21,"SAD"
25,357,2,18,2,5,3,13,17,"No_Anxiety"
15,154,2,20,2,2,3,27,6,"No_Anxiety"
12,154,2,19,3,3,10,18,31,"Mixed_Anxiety"
21,206,2,24,4,1,11,16,6,"GAD"
80,154,2,19,2,3,3,29,9,"No_Anxiety"
7,154,2,19,2,2,13,13,19,"Mixed_Anxiety"
20,349,2,18,2,2,3,10,26,"SAD"
12,154,2,30,1,5,2,20,15,"No_Anxiety"
10,206,2,31,1,5,2,23,27,"SAD"
7,154,2,20,2,2,0,28,11,"No_Anxiety"
18,309,2,19,2,2,4,20,17,"No_Anxiety"
18,206,2,24,2,5,2,29,1,"No_Anxiety"
15,154,2,18,3,3,4,20,14,"No_Anxiety"
40,206,2,19,1,2,2,23,31,"SAD"
25,154,2,21,2,2,2,19,30,"SAD"
15,349,2,27,1,5,2,19,16,"No_Anxiety"
35,154,2,18,2,5,3,20,32,"SAD"
50,206,2,22,2,2,3,30,19,"SAD"
10,154,2,25,2,5,4,23,12,"No_Anxiety"
60,206,2,18,3,2,11,21,17,"GAD"
10,206,2,29,4,5,0,10,23,"SAD"
40,154,2,25,1,2,0,27,7,"No_Anxiety"
40,206,2,18,2,2,4,27,4,"No_Anxiety"
30,206,2,21,1,5,4,30,0,"No_Anxiety"
40,154,2,25,1,2,9,11,11,"No_Anxiety"
35,154,2,21,2,2,1,24,19,"SAD"
60,154,2,28,2,2,3,12,7,"No_Anxiety"
7,309,2,25,1,5,8,17,14,"No_Anxiety"
20,206,2,29,1,5,2,30,7,"No_Anxiety"
25,154,2,20,4,2,1,20,42,"SAD"
22.2473574512431,349,2,18,1,2,7,13,41,"SAD"
10,349,2,18,3,2,2,19,15,"No_Anxiety"
28,154,2,18,1,2,0,30,2,"No_Anxiety"
10,154,2,19,2,2,7,32,37,"SAD"
15,154,2,18,3,3,3,24,22,"SAD"
15,154,2,18,3,3,3,24,22,"SAD"
55,206,2,20,2,2,8,27,3,"No_Anxiety"
30,206,2,20,4,2,15,11,17,"GAD"
140,349,1,22,1,5,21,23,50,"Mixed_Anxiety"
7,154,2,26,2,5,3,20,4,"No_Anxiety"
52,206,2,18,2,2,5,12,17,"No_Anxiety"
18,349,2,19,3,2,6,11,44,"SAD"
14,206,2,20,2,2,3,23,16,"No_Anxiety"
20,154,2,30,1,5,8,12,10,"No_Anxiety"
40,206,2,20,4,3,0,24,14,"No_Anxiety"
18,154,2,21,3,3,5,17,25,"SAD"
14,309,2,18,2,2,2,20,11,"No_Anxiety"
14,349,2,23,4,3,3,13,5,"No_Anxiety"
20,154,2,19,1,2,9,28,23,"SAD"
15,154,2,21,2,2,3,18,17,"No_Anxiety"
20,206,2,22,2,2,5,28,10,"No_Anxiety"
50,206,2,25,2,5,3,12,3,"No_Anxiety"
20,349,2,23,4,2,0,15,2,"No_Anxiety"
30,349,2,22,2,2,4,10,28,"SAD"
10,154,2,19,2,2,6,31,22,"SAD"
8,349,2,19,3,2,6,10,4,"No_Anxiety"
20,154,2,19,3,2,3,24,11,"No_Anxiety"
21,154,2,20,2,5,5,12,42,"SAD"
20,154,1,22,2,2,4,17,39,"SAD"
20,349,2,20,1,2,0,18,26,"SAD"
20,349,2,20,2,2,2,28,16,"No_Anxiety"
16,154,2,18,2,2,8,16,31,"SAD"
30,154,2,20,2,2,7,10,41,"SAD"
25,309,2,19,2,2,2,14,19,"SAD"
30,154,2,18,1,2,4,18,15,"No_Anxiety"
30,154,2,22,2,2,4,15,20,"SAD"
20,349,2,42,1,3,13,22,0,"GAD"
10,154,2,23,2,5,5,30,13,"No_Anxiety"
18,154,2,20,2,2,1,15,12,"No_Anxiety"
15,206,2,19,2,2,3,14,21,"SAD"
14,206,2,32,1,1,0,12,8,"No_Anxiety"
20,154,2,18,3,2,17,10,26,"Mixed_Anxiety"
21,154,2,24,2,5,4,25,5,"No_Anxiety"
15,154,2,24,1,5,4,31,19,"SAD"
40,206,2,21,2,2,0,19,13,"No_Anxiety"
60,154,2,23,1,5,0,19,18,"No_Anxiety"
10,349,2,25,4,5,4,13,13,"No_Anxiety"
21,154,2,18,4,2,5,14,17,"No_Anxiety"
25,206,2,21,1,5,6,20,35,"SAD"
21,206,2,18,2,2,4,23,8,"No_Anxiety"
6,154,2,19,2,2,17,20,23,"Mixed_Anxiety"
30,148,2,24,2,5,3,21,4,"No_Anxiety"
10,206,2,31,1,5,20,7,53,"Mixed_Anxiety"
20,206,2,23,1,5,0,30,18,"No_Anxiety"
30,206,2,18,3,3,4,24,16,"No_Anxiety"
20,349,2,26,1,5,0,26,20,"SAD"
3,154,2,20,2,2,2,31,5,"No_Anxiety"
20,154,2,24,4,5,16,10,13,"GAD"
20,154,2,19,2,2,0,26,4,"No_Anxiety"
20,309,1,25,4,2,19,9,63,"Mixed_Anxiety"
10,154,2,26,1,5,2,25,39,"SAD"
30,154,2,20,2,3,21,11,16,"GAD"
25,349,2,25,1,2,21,10,50,"Mixed_Anxiety"
11,154,2,18,3,2,8,21,24,"SAD"
10,154,2,18,1,2,3,22,12,"No_Anxiety"
30,349,2,18,3,2,0,30,5,"No_Anxiety"
12,154,2,18,3,2,6,24,18,"No_Anxiety"
14,154,2,23,1,5,11,13,32,"Mixed_Anxiety"
21,206,2,19,2,2,1,14,10,"No_Anxiety"
6,154,1,18,3,2,4,33,17,"No_Anxiety"
11,206,2,20,2,2,0,22,24,"SAD"
5,154,2,18,2,3,3,27,25,"SAD"
10,206,2,24,4,2,1,19,9,"No_Anxiety"
30,206,2,18,3,3,7,18,45,"SAD"
25,154,2,21,2,2,0,27,15,"No_Anxiety"
12,206,2,23,1,1,4,27,18,"No_Anxiety"
25,154,2,20,2,2,1,25,17,"No_Anxiety"
7,349,2,19,2,3,1,25,8,"No_Anxiety"
30,349,2,23,2,2,3,10,44,"SAD"
15,206,2,23,1,4,1,33,23,"SAD"
35,309,2,23,4,2,8,13,21,"SAD"
16,309,2,18,3,2,12,9,45,"Mixed_Anxiety"
5,154,2,28,2,1,1,31,2,"No_Anxiety"
15,154,2,18,3,3,5,19,34,"SAD"
20,309,2,24,2,1,10,13,18,"GAD"
14,206,2,19,2,2,9,12,16,"No_Anxiety"
14,206,2,18,2,2,5,25,9,"No_Anxiety"
10,206,2,18,4,2,5,8,36,"SAD"
70,206,2,22,2,2,4,20,9,"No_Anxiety"
20,349,2,24,2,5,6,23,36,"SAD"
10,206,2,19,2,2,6,19,6,"No_Anxiety"
30,206,2,26,2,5,0,28,14,"No_Anxiety"
14,154,2,19,2,2,0,22,6,"No_Anxiety"
80,349,2,18,4,2,1,21,10,"No_Anxiety"
30,206,2,28,1,3,3,27,32,"SAD"
15,154,2,20,2,2,13,14,18,"GAD"
15,206,2,25,4,1,1,12,17,"No_Anxiety"
14,206,2,18,2,2,3,21,37,"SAD"
14,206,1,23,1,5,7,18,29,"SAD"
7,154,2,24,2,1,0,28,3,"No_Anxiety"
20,154,2,23,1,1,0,33,16,"No_Anxiety"
20,206,2,19,4,2,2,15,37,"SAD"
20,154,2,27,1,1,0,24,8,"No_Anxiety"
20,206,2,21,2,2,7,24,35,"SAD"
18,349,2,25,1,1,5,27,8,"No_Anxiety"
20,206,2,24,2,2,3,13,27,"SAD"
35,154,2,25,2,4,1,25,3,"No_Anxiety"
18,309,2,19,3,2,12,18,17,"GAD"
20,154,2,23,2,2,11,11,42,"Mixed_Anxiety"
20,154,2,18,4,2,11,16,18,"GAD"
10,206,2,22,2,2,2,20,20,"SAD"
20,206,2,23,2,2,3,5,33,"SAD"
28,154,2,22,1,5,0,30,7,"No_Anxiety"
18,349,2,25,1,1,5,27,8,"No_Anxiety"
18,206,2,42,1,1,5,27,33,"SAD"
12,154,2,28,4,5,17,13,27,"Mixed_Anxiety"
14,154,2,23,2,2,3,28,11,"No_Anxiety"
8,154,1,27,1,2,17,16,64,"Mixed_Anxiety"
8,349,2,20,2,2,18,23,17,"GAD"
10,309,2,18,3,3,3,26,24,"SAD"
17,206,2,18,2,2,1,24,13,"No_Anxiety"
35,206,2,21,1,2,3,12,15,"No_Anxiety"
21,154,2,20,2,2,11,10,37,"Mixed_Anxiety"
37,349,2,20,2,2,0,25,8,"No_Anxiety"
10,154,2,27,2,2,4,10,14,"No_Anxiety"
20,154,2,18,3,2,0,25,16,"No_Anxiety"
21,154,1,18,2,2,21,9,55,"Mixed_Anxiety"
32,206,2,21,2,2,4,13,40,"SAD"
20,154,2,24,1,3,2,20,5,"No_Anxiety"
20,206,2,19,1,2,0,18,2,"No_Anxiety"
10,206,2,18,3,3,3,23,2,"No_Anxiety"
35,349,2,19,4,2,2,13,30,"SAD"
14,154,2,19,2,2,2,27,8,"No_Anxiety"
15,349,2,19,2,2,2,21,30,"SAD"
40,206,2,20,2,2,8,25,11,"No_Anxiety"
10,154,2,24,4,2,3,7,8,"No_Anxiety"
30,154,2,22,4,5,11,7,5,"GAD"
20,154,2,24,2,1,3,31,17,"No_Anxiety"
40,206,2,21,4,2,8,22,19,"SAD"
90,206,2,20,4,5,13,15,25,"Mixed_Anxiety"
17,206,2,18,2,2,0,30,3,"No_Anxiety"
14,154,2,19,2,2,4,8,37,"SAD"
55,154,1,20,4,2,7,26,65,"SAD"
55,206,2,18,3,1,12,11,2,"GAD"
35,349,2,20,2,3,9,19,15,"No_Anxiety"
20,206,2,18,3,3,3,19,17,"No_Anxiety"
20,349,2,21,1,2,0,19,1,"No_Anxiety"
24,154,2,18,2,2,0,32,22,"SAD"
12,206,2,20,2,2,2,25,46,"SAD"
25,154,2,26,2,2,5,15,13,"No_Anxiety"
5,154,2,30,1,2,0,22,12,"No_Anxiety"
35,349,2,18,2,2,0,31,13,"No_Anxiety"
8,154,2,18,2,5,0,30,18,"No_Anxiety"
64,154,2,19,3,2,5,11,37,"SAD"
10,154,1,19,1,5,9,15,45,"SAD"
23,130,2,18,3,2,6,14,17,"No_Anxiety"
60,154,2,18,2,2,2,25,18,"No_Anxiety"
30,349,2,25,1,5,14,29,19,"Mixed_Anxiety"
10,349,2,18,3,3,8,22,32,"SAD"
10,154,2,20,2,2,0,16,7,"No_Anxiety"
20,154,2,18,4,2,3,15,23,"SAD"
20,154,2,21,2,2,11,15,4,"GAD"
27,154,2,18,3,3,4,30,10,"No_Anxiety"
30,206,2,22,2,2,0,26,13,"No_Anxiety"
19,206,2,18,3,3,11,12,4,"GAD"
28,154,1,21,2,5,6,14,28,"SAD"
50,154,2,24,4,5,18,8,29,"Mixed_Anxiety"
25,349,2,21,2,2,2,15,22,"SAD"
20,206,2,24,2,1,2,30,19,"SAD"
30,154,2,18,2,2,1,27,17,"No_Anxiety"
20,206,2,22,2,1,4,32,6,"No_Anxiety"
7,349,2,18,3,3,6,16,25,"SAD"
20,349,2,21,2,2,8,13,17,"No_Anxiety"
25,206,2,20,2,3,5,23,11,"No_Anxiety"
21,206,2,18,3,3,16,20,13,"GAD"
17,206,2,18,2,5,2,17,24,"SAD"
30,154,2,19,2,2,4,27,22,"SAD"
25,154,2,19,1,2,4,25,36,"SAD"
35,154,2,19,2,5,2,23,9,"No_Anxiety"
10,154,2,18,1,2,6,24,16,"No_Anxiety"
14,309,2,19,2,2,6,29,25,"SAD"
40,206,2,18,3,3,7,17,35,"SAD"
70,206,2,20,4,2,10,7,8,"GAD"
28,206,2,21,2,2,2,22,1,"No_Anxiety"
5,154,2,18,3,3,13,18,17,"GAD"
20,206,2,22,2,2,0,33,17,"No_Anxiety"
20,154,2,21,2,2,3,28,12,"No_Anxiety"
35,154,2,18,2,2,4,26,11,"No_Anxiety"
20,206,2,19,2,5,6,14,10,"No_Anxiety"
5,154,2,18,3,3,13,18,17,"GAD"
22,309,2,18,2,2,6,22,22,"SAD"
35,313,2,19,2,2,8,17,24,"SAD"
10,309,2,18,2,2,0,29,4,"No_Anxiety"
30,206,2,18,3,3,3,17,15,"No_Anxiety"
5,154,2,19,2,2,0,12,3,"No_Anxiety"
25,206,2,22,1,5,3,19,28,"SAD"
25,349,2,18,3,2,3,35,7,"No_Anxiety"
60,206,2,18,2,2,4,19,9,"No_Anxiety"
20,206,2,20,1,2,1,20,22,"SAD"
25,206,2,24,1,5,2,34,6,"No_Anxiety"
25,206,2,18,2,2,5,18,27,"SAD"
14,154,2,22,2,2,3,24,5,"No_Anxiety"
10,349,2,24,1,2,6,15,10,"No_Anxiety"
10,349,2,26,1,1,0,26,7,"No_Anxiety"
20,206,2,32,1,1,21,16,17,"GAD"
10,206,2,18,3,3,1,10,2,"No_Anxiety"
40,349,2,24,1,2,6,9,21,"SAD"
12,206,2,21,2,2,3,29,23,"SAD"
40,206,2,18,2,2,8,24,41,"SAD"
18,154,2,23,1,5,6,18,20,"SAD"
20,206,2,20,3,2,1,14,9,"No_Anxiety"
21,154,2,18,3,2,2,29,7,"No_Anxiety"
10,309,2,19,1,2,8,15,7,"No_Anxiety"
10,154,2,18,3,3,16,7,34,"Mixed_Anxiety"
23,154,2,18,2,3,5,19,17,"No_Anxiety"
28,206,2,22,2,2,1,30,16,"No_Anxiety"
8,154,2,24,1,5,7,18,14,"No_Anxiety"
35,206,2,21,2,2,1,16,15,"No_Anxiety"
15,154,2,19,3,2,1,25,11,"No_Anxiety"
30,206,2,18,2,2,11,21,53,"Mixed_Anxiety"
45,349,2,23,1,2,11,9,24,"Mixed_Anxiety"
8,154,2,21,2,2,0,22,3,"No_Anxiety"
